regionCNC;N° auto;nom;region administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unite urbaine;population unite urbaine;situation geographique;ecrans;fauteuils;semaines d'activite;seances;entrees 2022;entrees 2021;evolution entrees;tranche d'entrees;programmateur;AE;categorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmes;nombre de films inedits;nombre de films en semaine 1;PdM en entrees des films français;PdM en entrees des films americains;PdM en entrees des films europeens;PdM en entrees des autres films;films Art et Essai;PdM en entrees des films Art et Essai;latitude;longitude;geolocalisation
7;13454;ARMAND LUNEL;PROVENCE-ALPES-COTE D'AZUR;RUE DES ALLUMETTES;13001;Aix-en-Provence;150358.0;13;759;Marseille - Aix-en-Provence;1630325.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;165.0;49.0;1007.0;20248.0;9895.0;104.62860030318342;De 20 à 30 000 entrees;;OUI;C;PR;FIXE;NON;B;239.0;13.0;2.0;33.44001651868677;24.788354325831097;19.750154862688415;22.021474292793723;188.0;87.98265537889738;43.524462;5.439812;43.524462, 5.439812
7;82752;SALLE POLYVALENTE;PROVENCE-ALPES-COTE D'AZUR;SALLE POLYVALENTE;84029;Camaret-sur-Aigues;4636.0;84;84111;Camaret-sur-Aigues;5361.0;06-autres communes et unites urbaines;1.0;120.0;51.0;351.0;9711.0;3934.0;146.84799186578545;De 5 à 10 000 entrees;;OUI;E;JP;ITINERANT;NON;C;137.0;101.0;0.0;62.814465408805034;15.341419586702607;10.377358490566039;11.466756513926326;77.0;49.15768194070081;44.162816;4.889682;44.162816, 4.889682
7;290191;PATHE LINGOSTIERE;PROVENCE-ALPES-COTE D'AZUR;604 ROUTE DE GRENOBLE;6088;Nice;346376.0;6;6701;Nice;966577.0;04-Unites urbaines de 100 000 hbts ou plus;13.0;2816.0;53.0;20927.0;507552.0;303791.0;67.0727572574566;De 450 à 700 000 entrees;PATHE-GAUMONT;NON;NON;;FIXE;OUI;C;274.0;193.0;178.0;28.918830101873148;54.14995506178509;13.12690789447636;3.804306941865391;63.0;3.0706460412798084;43.671643;7.203332;43.671643, 7.203332
7;404350;SALLE JEAN GABIN;PROVENCE-ALPES-COTE D'AZUR;PLACE FELIX FAURE;6127;Saint-Martin-Vesubie;1443.0;6;0;Zone rurale;14908533.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;120.0;49.0;293.0;5377.0;3284.0;63.733252131546905;De 5 à 10 000 entrees;PATHE-GAUMONT;NON;NON;;ITINERANT;NON;R;78.0;67.0;3.0;74.90978157644824;19.981006647673315;4.368471035137702;0.7407407407407408;21.0;15.93542260208927;44.073396;7.263839;44.073396, 7.263839
7;33772;UTOPIA REPUBLIQUE (UTOPIA 5);PROVENCE-ALPES-COTE D'AZUR;5 RUE FIGUIERE;84007;Avignon;92277.0;84;754;Avignon;470065.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;139.0;49.0;1346.0;19902.0;12092.0;64.58815745947734;De 10 à 20 000 entrees;;OUI;B;RDJPPR;FIXE;NON;C;328.0;223.0;127.0;65.7378153001502;9.809913502874606;13.927591029160407;10.524680167814783;293.0;90.25224012016368;43.947217;4.806805;43.947217, 4.806805
7;52619;LE MARILYN;PROVENCE-ALPES-COTE D'AZUR;PLACE NOEL BLACHE;83018;Besse-sur-Issole;3122.0;83;83206;Carnoules;11450.0;06-autres communes et unites urbaines;1.0;84.0;51.0;402.0;8053.0;5868.0;37.23585548738924;De 5 à 10 000 entrees;;NON;NON;;FIXE;NON;C;91.0;81.0;0.0;53.48317397243263;34.64547373649572;8.17086799950329;3.7004842915683596;7.0;2.9181671426797466;43.349529;6.177013;43.349529, 6.177013
7;86930;JULIETTE GRECO;PROVENCE-ALPES-COTE D'AZUR;BOULEVARD LA COLLE BELLE;6033;Carros;13010.0;6;6701;Nice;966577.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;277.0;24.0;130.0;6176.0;3350.0;84.35820895522387;De 5 à 10 000 entrees;;NON;NON;;FIXE;NON;B;114.0;92.0;0.0;59.64570128392654;22.379327157484155;15.08207378514546;2.8928977734438486;51.0;50.170648464163826;43.772944;7.193186;43.772944, 7.193186
7;87646;CINE LES CALANQUES;PROVENCE-ALPES-COTE D'AZUR;20 AVENUE EMMANUEL AGOSTINI;13022;Cassis;6889.0;13;13211;Cassis;6889.0;06-autres communes et unites urbaines;1.0;111.0;52.0;980.0;10207.0;6336.0;61.09532828282829;De 10 à 20 000 entrees;;OUI;E;;FIXE;NON;I;168.0;146.0;5.0;66.84507590502142;21.33125729855975;7.746204748929545;4.077462047489296;104.0;45.24133904242896;43.215622;5.538828;43.215622, 5.538828
7;157011;ESPACE CULTUREL;PROVENCE-ALPES-COTE D'AZUR;2 RUE DU TERME;83055;Fayence;5857.0;83;83301;Fayence;11492.0;06-autres communes et unites urbaines;1.0;254.0;51.0;136.0;2814.0;1388.0;102.7377521613833;De 2 à 5 000 entrees;;NON;NON;;FIXE;NON;C;130.0;116.0;3.0;46.80170575692964;36.9225302061123;14.78322672352523;1.4925373134328357;40.0;37.38450604122246;43.620961;6.698294;43.620961, 6.698294
7;249831;LES TROIS PALMES;PROVENCE-ALPES-COTE D'AZUR;2 BOULEVARD LEON BANCAL;13055;Marseille;876602.0;13;759;Marseille - Aix-en-Provence;1630325.0;04-Unites urbaines de 100 000 hbts ou plus;11.0;2436.0;53.0;16674.0;592641.0;381211.0;55.46272274409709;De 450 à 700 000 entrees;;NON;NON;;FIXE;OUI;C;171.0;131.0;127.0;27.583905803287127;56.045485955855455;12.330460821375825;4.040147419481593;31.0;1.8586642819397585;43.289155;5.481134;43.289155, 5.481134
